korean,sejong_level,unit,page,source,source_pdf_page,source_term,base_validation,extra_validation,notes
나라,1A,1,6,vocabulary_book,8,나라,confirmed_base_footer,,
직업,1A,1,6,vocabulary_book,8,직업,confirmed_base_footer,,
한국,1A,1,6,vocabulary_book,8,한국,confirmed_base_ocr_exact,,
사람,1A,1,6,vocabulary_book,8,사람,confirmed_base_ocr_exact,,
캐나다,1A,1,6,vocabulary_book,8,캐나다,confirmed_base_ocr_exact,,
베트남,1A,1,6,vocabulary_book,8,베트남,confirmed_base_ocr_exact,,
미국,1A,1,6,vocabulary_book,8,미국,confirmed_base_ocr_exact,,
프랑스,1A,1,6,vocabulary_book,8,프랑스,confirmed_base_ocr_exact,,
태국,1A,1,6,vocabulary_book,8,태국,confirmed_base_ocr_exact,,
인도네시아,1A,1,6,vocabulary_book,8,인도네시아,confirmed_base_ocr_exact,,
중국,1A,1,6,vocabulary_book,8,중국,confirmed_base_ocr_exact,,
일본,1A,1,6,vocabulary_book,8,일본,confirmed_base_ocr_exact,,
러시아,1A,1,6,vocabulary_book,8,러시아,confirmed_base_ocr_exact,,
케냐,1A,1,6,vocabulary_book,8,케냐,confirmed_base_ocr_exact,,
회사원,1A,1,6,vocabulary_book,8,회사원,confirmed_base_ocr_exact,,
대학생,1A,1,6,vocabulary_book,8,대학생,confirmed_base_ocr_exact,,
의사,1A,1,6,vocabulary_book,8,의사,confirmed_base_ocr_exact,,
경찰,1A,1,6,vocabulary_book,8,경찰,confirmed_base_ocr_exact,,
선생님,1A,1,6,vocabulary_book,8,선생님,confirmed_base_ocr_exact,,
가수,1A,1,6,vocabulary_book,8,가수,confirmed_base_ocr_exact,,
요리사,1A,1,6,vocabulary_book,8,요리사,confirmed_base_ocr_exact,,
네,1A,1,7,vocabulary_book,9,네,confirmed_base_footer,,
아니요,1A,1,7,vocabulary_book,9,아니요,confirmed_base_footer,,
나,1A,1,7,vocabulary_book,9,나,confirmed_base_footer,,
모자,1A,1,7,vocabulary_book,9,모자,confirmed_base_footer,,
책,1A,1,7,vocabulary_book,9,책,confirmed_base_footer,,
