korean,sejong_level,unit,page,source,source_pdf_page,source_term,base_validation,extra_validation,notes
음식,1B,1,6,vocabulary_book,8,음식,confirmed_base_unit_visual,,already introduced in Sejong 1A
김치찌개,1B,1,6,vocabulary_book,8,김치찌개,confirmed_base_unit_visual,,
된장찌개,1B,1,6,vocabulary_book,8,된장찌개,confirmed_base_unit_visual,,
냉면,1B,1,6,vocabulary_book,8,냉면,confirmed_base_unit_visual,,
볶음밥,1B,1,6,vocabulary_book,8,볶음밥,confirmed_base_unit_visual,,
잡채,1B,1,6,vocabulary_book,8,잡채,confirmed_base_unit_visual,,
떡볶이,1B,1,6,vocabulary_book,8,떡볶이,confirmed_base_unit_visual,,already introduced in Sejong 1A
주문하다,1B,1,6,vocabulary_book,8,주문하다,confirmed_base_unit_visual,,
선물,1B,1,6,vocabulary_book,8,선물,confirmed_base_unit_visual,,
받다,1B,1,6,vocabulary_book,8,받다,confirmed_base_unit_visual,,
가장,1B,1,6,vocabulary_book,8,가장,confirmed_base_unit_visual,,
동물,1B,1,6,vocabulary_book,8,동물,confirmed_base_unit_visual,,
테니스,1B,1,6,vocabulary_book,8,테니스,confirmed_base_unit_visual,,
미안하다,1B,1,6,vocabulary_book,8,미안하다,confirmed_base_unit_visual,,
혼자,1B,1,6,vocabulary_book,8,혼자,confirmed_base_unit_visual,,
치다,1B,1,6,vocabulary_book,8,치다,confirmed_base_unit_visual,,
운전,1B,1,7,vocabulary_book,9,운전,confirmed_base_unit_visual,,
고기,1B,1,7,vocabulary_book,9,고기,confirmed_base_unit_visual,,
햄버거,1B,1,7,vocabulary_book,9,햄버거,confirmed_base_unit_visual,,
생선,1B,1,7,vocabulary_book,9,생선,confirmed_base_unit_visual,,
초밥,1B,1,7,vocabulary_book,9,초밥,confirmed_base_unit_visual,,
내,1B,1,7,vocabulary_book,9,내,confirmed_base_unit_visual,,
것,1B,1,7,vocabulary_book,9,것,confirmed_base_unit_visual,,
일주일,1B,1,7,vocabulary_book,9,일주일,confirmed_base_unit_visual,,
조금,1B,1,7,vocabulary_book,9,조금,confirmed_base_unit_visual,,
하지만,1B,1,7,vocabulary_book,9,하지만,confirmed_base_unit_visual,,
왜,1B,1,7,vocabulary_book,9,왜,confirmed_base_unit_visual,,
맛,1B,1,7,vocabulary_book,9,맛,confirmed_base_unit_visual,,
얼마나,1B,1,7,vocabulary_book,9,얼마나,confirmed_base_unit_visual,,
취미,1B,2,8,vocabulary_book,10,취미,confirmed_base_unit_visual,,
그림,1B,2,8,vocabulary_book,10,그림,confirmed_base_unit_visual,,already introduced in Sejong 1A
그리다,1B,2,8,vocabulary_book,10,그리다,confirmed_base_unit_visual,,
노래,1B,2,8,vocabulary_book,10,노래,confirmed_base_unit_visual,,already introduced in Sejong 1A
기타,1B,2,8,vocabulary_book,10,기타,confirmed_base_unit_visual,,
신문,1B,2,8,vocabulary_book,10,신문,confirmed_base_unit_visual,,
빌리다,1B,2,8,vocabulary_book,10,빌리다,confirmed_base_unit_visual,,
헬스클럽,1B,2,8,vocabulary_book,10,헬스클럽,confirmed_base_unit_visual,,
은행,1B,2,8,vocabulary_book,10,은행,confirmed_base_unit_visual,,already introduced in Sejong 1A
돈을 찾다,1B,2,8,vocabulary_book,10,돈을 찾다,confirmed_base_unit_visual,,
사무실,1B,2,8,vocabulary_book,10,사무실,confirmed_base_unit_visual,,
옷장,1B,2,8,vocabulary_book,10,옷장,confirmed_base_unit_visual,,
보통,1B,2,8,vocabulary_book,10,보통,confirmed_base_unit_visual,,
독서,1B,2,8,vocabulary_book,10,독서,confirmed_base_unit_visual,,
그래서,1B,2,8,vocabulary_book,10,그래서,confirmed_base_unit_visual,,
특히,1B,2,8,vocabulary_book,10,특히,confirmed_base_unit_visual,,
년,1B,2,8,vocabulary_book,10,년,confirmed_base_unit_visual,,
전,1B,2,8,vocabulary_book,10,전,confirmed_base_unit_visual,,
근처,1B,2,8,vocabulary_book,10,근처,confirmed_base_unit_visual,,
옷차림,1B,3,9,vocabulary_book,11,옷차림,confirmed_base_unit_visual,,
티셔츠,1B,3,9,vocabulary_book,11,티셔츠,confirmed_base_unit_visual,,
청바지,1B,3,9,vocabulary_book,11,청바지,confirmed_base_unit_visual,,
치마,1B,3,9,vocabulary_book,11,치마,confirmed_base_unit_visual,,
정장,1B,3,9,vocabulary_book,11,정장,confirmed_base_unit_visual,,
운동복,1B,3,9,vocabulary_book,11,운동복,confirmed_base_unit_visual,,
매다,1B,3,9,vocabulary_book,11,매다,confirmed_base_unit_visual,,
입다,1B,3,9,vocabulary_book,11,입다,confirmed_base_unit_visual,,
쓰다,1B,3,9,vocabulary_book,11,쓰다,confirmed_base_unit_visual,,already introduced in Sejong 1A
신다,1B,3,9,vocabulary_book,11,신다,confirmed_base_unit_visual,,
바지,1B,3,9,vocabulary_book,11,바지,confirmed_base_unit_visual,,
기차역,1B,3,9,vocabulary_book,11,기차역,confirmed_base_unit_visual,,
결혼식,1B,3,9,vocabulary_book,11,결혼식,confirmed_base_unit_visual,,
아직,1B,3,9,vocabulary_book,11,아직,confirmed_base_unit_visual,,
이따가,1B,3,9,vocabulary_book,11,이따가,confirmed_base_unit_visual,,
계획,1B,3,9,vocabulary_book,11,계획,confirmed_base_unit_visual,,
이유,1B,3,9,vocabulary_book,11,이유,confirmed_base_unit_visual,,
떡,1B,3,9,vocabulary_book,11,떡,confirmed_base_unit_visual,,
채소,1B,3,9,vocabulary_book,11,채소,confirmed_base_unit_visual,,
너무,1B,3,9,vocabulary_book,11,너무,confirmed_base_unit_visual,,
인터넷,1B,3,9,vocabulary_book,11,인터넷,confirmed_base_unit_visual,,
싸다,1B,3,9,vocabulary_book,11,싸다,confirmed_base_unit_visual,,
크다,1B,4,10,vocabulary_book,12,크다,confirmed_base_unit_visual,,
작다,1B,4,10,vocabulary_book,12,작다,confirmed_base_unit_visual,,
넓다,1B,4,10,vocabulary_book,12,넓다,confirmed_base_unit_visual,,
좁다,1B,4,10,vocabulary_book,12,좁다,confirmed_base_unit_visual,,
높다,1B,4,10,vocabulary_book,12,높다,confirmed_base_unit_visual,,
낮다,1B,4,10,vocabulary_book,12,낮다,confirmed_base_unit_visual,,
길다,1B,4,10,vocabulary_book,12,길다,confirmed_base_unit_visual,,
짧다,1B,4,10,vocabulary_book,12,짧다,confirmed_base_unit_visual,,
비싸다,1B,4,10,vocabulary_book,12,비싸다,confirmed_base_unit_visual,,
