korean,sejong_level,unit,page
가장,1B,1,6
김치찌개,1B,1,6
냉면,1B,1,6
동물,1B,1,6
된장찌개,1B,1,6
떡볶이,1B,1,6
미안하다,1B,1,6
받다,1B,1,6
볶음밥,1B,1,6
선물,1B,1,6
음식,1B,1,6
잡채,1B,1,6
주문하다,1B,1,6
치다,1B,1,6
테니스,1B,1,6
혼자,1B,1,6
것,1B,1,7
고기,1B,1,7
그리다,1B,1,7
그림,1B,1,7
내,1B,1,7
맛,1B,1,7
머리,1B,1,7
생선,1B,1,7
아프다,1B,1,7
얼마나,1B,1,7
왜,1B,1,7
운전,1B,1,7
일주일,1B,1,7
입다,1B,1,7
조금,1B,1,7
청바지,1B,1,7
초밥,1B,1,7
하지만,1B,1,7
햄버거,1B,1,7
달리기,1B,1,8
야구,1B,1,8
요가,1B,1,8
제일,1B,1,8
국,1B,1,9
놓다,1B,1,9
반찬,1B,1,9
사용하다,1B,1,9
숟가락,1B,1,9
젓가락,1B,1,9
함께,1B,1,9
그래서,1B,2,8
근처,1B,2,8
기타,1B,2,8
년,1B,2,8
노래,1B,2,8
독서,1B,2,8
돈을 찾다,1B,2,8
보통,1B,2,8
빌리다,1B,2,8
사무실,1B,2,8
신문,1B,2,8
옷장,1B,2,8
은행,1B,2,8
전,1B,2,8
취미,1B,2,8
특히,1B,2,8
헬스클럽,1B,2,8
새,1B,2,11
PC방,1B,2,12
매주,1B,2,13
결혼식,1B,3,9
계획,1B,3,9
기차역,1B,3,9
너무,1B,3,9
떡,1B,3,9
매다,1B,3,9
바지,1B,3,9
신다,1B,3,9
싸다,1B,3,9
쓰다,1B,3,9
아직,1B,3,9
옷차림,1B,3,9
운동복,1B,3,9
이따가,1B,3,9
이유,1B,3,9
인터넷,1B,3,9
정장,1B,3,9
채소,1B,3,9
치마,1B,3,9
티셔츠,1B,3,9
배,1B,3,15
반팔,1B,3,16
가족,1B,3,17
월급,1B,3,17
첫,1B,3,17
귀엽다,1B,4,10
길다,1B,4,10
꿈,1B,4,10
낮다,1B,4,10
넓다,1B,4,10
높다,1B,4,10
불편하다,1B,4,10
비싸다,1B,4,10
손님,1B,4,10
수박,1B,4,10
작다,1B,4,10
잠,1B,4,10
점원,1B,4,10
좁다,1B,4,10
짧다,1B,4,10
찾다,1B,4,10
크다,1B,4,10
편하다,1B,4,10
가격,1B,4,11
