korean,sejong_level,unit,page
가수,1A,1,6
경찰,1A,1,6
국적,1A,1,6
나라,1A,1,6
대학생,1A,1,6
러시아,1A,1,6
미국,1A,1,6
베트남,1A,1,6
사람,1A,1,6
선생님,1A,1,6
요리사,1A,1,6
의사,1A,1,6
인도네시아,1A,1,6
일본,1A,1,6
중국,1A,1,6
직업,1A,1,6
캐나다,1A,1,6
케냐,1A,1,6
태국,1A,1,6
프랑스,1A,1,6
한국,1A,1,6
회사원,1A,1,6
가방,1A,1,7
공책,1A,1,7
과자,1A,1,7
나,1A,1,7
나무,1A,1,7
네,1A,1,7
누구,1A,1,7
누나,1A,1,7
동생,1A,1,7
모자,1A,1,7
신발,1A,1,7
씨,1A,1,7
아니요,1A,1,7
아버지,1A,1,7
어머니,1A,1,7
언니,1A,1,7
우유,1A,1,7
이름,1A,1,7
자기소개,1A,1,7
제,1A,1,7
차,1A,1,7
책,1A,1,7
책상,1A,1,7
친구,1A,1,7
커피,1A,1,7
학생,1A,1,7
한복,1A,1,7
어느,1A,1,8
이,1A,1,9
공,1A,2,8
구,1A,2,8
사,1A,2,8
삼,1A,2,8
수,1A,2,8
십,1A,2,8
십사,1A,2,8
십삼,1A,2,8
십오,1A,2,8
십육,1A,2,8
십이,1A,2,8
십일,1A,2,8
십칠,1A,2,8
십팔,1A,2,8
영,1A,2,8
오,1A,2,8
육,1A,2,8
일,1A,2,8
칠,1A,2,8
팔,1A,2,8
한자어,1A,2,8
구십,1A,2,9
노래방,1A,2,9
몇,1A,2,9
백,1A,2,9
번,1A,2,9
사십,1A,2,9
삼십,1A,2,9
식당,1A,2,9
십구,1A,2,9
얼마,1A,2,9
영화관,1A,2,9
오십,1A,2,9
원,1A,2,9
월,1A,2,9
육십,1A,2,9
이십,1A,2,9
전화번호,1A,2,9
쪽,1A,2,9
층,1A,2,9
칠십,1A,2,9
카페,1A,2,9
팔십,1A,2,9
호,1A,2,9
PC방,1A,2,10
교실,1A,2,10
남자,1A,2,10
두,1A,2,10
맞다,1A,2,10
무슨,1A,2,10
물,1A,2,10
세종학당,1A,2,10
의자,1A,2,10
이메일,1A,2,10
주소,1A,2,10
주스,1A,2,10
지하,1A,2,10
컴퓨터,1A,2,10
텔레비전,1A,2,10
형,1A,2,10
여자,1A,2,11
옷,1A,2,11
병원,1A,2,12
은행,1A,2,12
뒤,1A,3,11
물건,1A,3,11
밑,1A,3,11
밖,1A,3,11
사이,1A,3,11
시계,1A,3,11
아래,1A,3,11
안,1A,3,11
앞,1A,3,11
어디,1A,3,11
옆,1A,3,11
오른쪽,1A,3,11
왼쪽,1A,3,11
위,1A,3,11
집,1A,3,11
칠판,1A,3,11
피아노,1A,3,11
필통,1A,3,11
학교,1A,3,11
핸드폰,1A,3,11
그럼,1A,3,12
무엇,1A,3,12
방,1A,3,12
우산,1A,3,12
침대,1A,3,12
펜,1A,3,12
고양이,1A,4,13
공부하다,1A,4,13
꽃,1A,4,13
듣다,1A,4,13
마시다,1A,4,13
만나다,1A,4,13
맛있다,1A,4,13
먹다,1A,4,13
보다,1A,4,13
불고기,1A,4,13
영화,1A,4,13
오늘,1A,4,13
요리하다,1A,4,13
일하다,1A,4,13
읽다,1A,4,13
자다,1A,4,13
정말,1A,4,13
좋아하다,1A,4,13
지금,1A,4,13
피자,1A,4,13
한국어,1A,4,13
게임,1A,4,14
공원,1A,4,14
김치,1A,4,14
사다,1A,4,14
쇼핑,1A,4,14
운동하다,1A,4,14
음악,1A,4,14
그림,1A,4,19
노래,1A,4,19
바나나,1A,4,19
밥,1A,4,19
사과,1A,4,19
춤,1A,4,19
과일,1A,5,15
구두,1A,5,15
김밥,1A,5,15
누가,1A,5,15
라면,1A,5,15
마트,1A,5,15
백화점,1A,5,15
빵,1A,5,15
식품,1A,5,15
아이스크림,1A,5,15
여기,1A,5,15
영어,1A,5,15
장소,1A,5,15
케이크,1A,5,15
포도,1A,5,15
화장품,1A,5,15
회사,1A,5,15
고유어,1A,6,16
넷,1A,6,16
다섯,1A,6,16
둘,1A,6,16
마흔,1A,6,16
서른,1A,6,16
세,1A,6,16
셋,1A,6,16
쉰,1A,6,16
스무,1A,6,16
스물,1A,6,16
아홉,1A,6,16
아흔,1A,6,16
여덟,1A,6,16
여든,1A,6,16
여섯,1A,6,16
열,1A,6,16
열두,1A,6,16
열둘,1A,6,16
열하나,1A,6,16
열한,1A,6,16
예순,1A,6,16
일곱,1A,6,16
일흔,1A,6,16
하나,1A,6,16
한,1A,6,16
개,1A,6,17
계란,1A,6,17
고맙다,1A,6,17
권,1A,6,17
내일,1A,6,17
대답하다,1A,6,17
마리,1A,6,17
명,1A,6,17
병,1A,6,17
살,1A,6,17
쓰다,1A,6,17
앉다,1A,6,17
잔,1A,6,17
장,1A,6,17
주다,1A,6,17
지우개,1A,6,17
창문,1A,6,17
펴다,1A,6,17
가게,1A,6,18
그리고,1A,6,18
모두,1A,6,18
버스,1A,6,18
어서,1A,6,18
오다,1A,6,18
일찍,1A,6,18
치약,1A,6,18
칫솔,1A,6,18
타다,1A,6,18
편의점,1A,6,18
초콜릿,1A,6,26
추다,1A,6,27
손님,1A,6,28
구월,1A,7,19
금요일,1A,7,19
날짜,1A,7,19
달력,1A,7,19
목요일,1A,7,19
사월,1A,7,19
삼월,1A,7,19
수요일,1A,7,19
시월,1A,7,19
십이월,1A,7,19
십일월,1A,7,19
오월,1A,7,19
요일,1A,7,19
월요일,1A,7,19
유월,1A,7,19
이월,1A,7,19
일요일,1A,7,19
일월,1A,7,19
칠월,1A,7,19
팔월,1A,7,19
화요일,1A,7,19
구일,1A,7,20
사일,1A,7,20
삼일,1A,7,20
십구일,1A,7,20
십사일,1A,7,20
십삼일,1A,7,20
십오일,1A,7,20
십육일,1A,7,20
십이일,1A,7,20
십일일,1A,7,20
십칠일,1A,7,20
십팔일,1A,7,20
오일,1A,7,20
육일,1A,7,20
이십이일,1A,7,20
이십일,1A,7,20
이십일일,1A,7,20
이일,1A,7,20
일일,1A,7,20
칠일,1A,7,20
토요일,1A,7,20
팔일,1A,7,20
도서관,1A,7,21
며칠,1A,7,21
배우다,1A,7,21
사진,1A,7,21
삼십일,1A,7,21
삼십일일,1A,7,21
생일,1A,7,21
수업,1A,7,21
수영,1A,7,21
식사,1A,7,21
아르바이트,1A,7,21
언제,1A,7,21
여행,1A,7,21
이십구일,1A,7,21
이십사일,1A,7,21
이십삼일,1A,7,21
이십오일,1A,7,21
이십육일,1A,7,21
이십칠일,1A,7,21
이십팔일,1A,7,21
점심,1A,7,21
주말,1A,7,21
찍다,1A,7,21
같이,1A,7,22
다니다,1A,7,22
드라마,1A,7,22
매일,1A,7,22
시작하다,1A,7,22
아침,1A,7,22
오후,1A,7,22
일어나다,1A,7,22
저녁,1A,7,22
파티,1A,7,22
하고,1A,7,22
하루,1A,7,22
회의,1A,7,22
기차,1A,7,31
출발하다,1A,7,31
떡국,1A,7,32
