number,korean
1,가게
2,가격
3,가구
4,가깝다
5,가끔
6,가다
7,가르치다
8,가방
9,가볍다
10,가수
11,가슴
12,가요
13,가운데
14,가위
15,가을
16,가장
17,가져가다
18,가져오다
19,가족
20,가지
21,가지다
22,각
23,간
24,간단하다
25,간단히
26,간식
27,간장
28,간호사
29,갈비
30,갈비탕
31,갈색
32,갈아타다
33,감
34,감기
35,감기약
36,감다
37,감동
38,감동하다
39,감사
40,감사드립니다
41,감사하다
42,감사합니다
43,감자
44,감자탕
45,갑자기
46,값
47,강
48,강아지
49,강좌
50,갖다
51,같다
52,같이
53,개
54,개나리
55,개인
56,거기
57,거리
58,거실
59,거울
60,거의
61,거짓말
62,걱정
63,걱정하다
64,건강
65,건강하다
66,건너가다
67,건너다
68,건너편
69,건물
70,건배
71,걷다
72,걸다
73,걸리다
74,걸어가다
75,걸어오다
76,검은색
77,것
78,게임
79,겨울
80,겨울방학
81,결과
82,결정
83,결정하다
84,결혼
85,결혼식
86,결혼하다
87,경기
88,경기장
89,경복궁
90,경주
91,경찰
92,경찰관
93,경찰서
94,경치
95,경험
96,계단
97,계란
98,계산하다
99,계속
100,계시다
101,계절
102,계획
103,고기
104,고등학교
105,고등학생
106,고르다
107,고마웠습니다
108,고맙다
109,고맙습니다
110,고모
111,고모부
112,고속버스
113,고양이
114,고장
115,고추
116,고추장
117,고치다
118,고프다
119,고향
120,곧
121,골목
122,골프
123,곱다
124,곳
125,공
126,공간
127,공기
128,공무원
129,공부
130,공부하다
131,공연
132,공원
133,공중전화
134,공짜
135,공책
136,공항
137,공휴일
138,과
139,과거
140,과일
141,과자
142,과학
143,관계
144,관광하다
145,관심
146,광고
147,괜찮다
148,괜찮습니다
149,교과서
150,교수
151,교실
152,교체
153,교통
154,교통사고
155,교회
156,구
157,구경하다
158,구두
159,구름
160,구십
161,구월
162,구하다
163,국
164,국내
165,국립
166,국수
167,국어
168,국적
169,국제
170,군인
171,굽다
172,권
173,귀
174,귀엽다
175,규칙
176,귤
177,그
178,그거
179,그것
180,그곳
181,그날
182,그냥
183,그동안
184,그들
185,그때
186,그래
187,그래서
188,그램
189,그러나
190,그러니까
191,그러면
192,그런
193,그런데
194,그럼
195,그렇게
196,그렇구나
197,그렇다
198,그렇습니다
199,그렇지만
200,그릇
201,그리고
202,그리다
203,그림
204,그만
205,그분
206,그저께
207,그중
208,그쪽
209,그치다
210,극장
211,근처
212,글
213,글쎄요
214,금방
215,금연
216,금요일
217,금주
218,급
219,급하다
220,기간
221,기다리다
222,기르다
223,기름
224,기분
225,기뻐하다
226,기쁘다
227,기사
228,기숙사
229,기억하다
230,기온
231,기자
232,기차
233,기침
234,기타
235,긴장되다
236,길
237,길다
238,김
239,김밥
240,김치
241,김치찌개
242,김포공항
243,까만색
244,까맣다
245,깎다
246,깜짝
247,깨끗하다
248,깨다
249,깨지다
250,꺼내다
251,껌
252,꼭
253,꽃
254,꽃집
255,꾸다
256,꿈
257,끄다
258,끓이다
259,끝
260,끝나다
261,끝내다
262,끼다
263,나
264,나가다
265,나누다
266,나다
267,나라
268,나무
269,나빠지다
270,나쁘다
271,나오다
272,나이
273,나중
274,나타나다
275,나흘
276,낚시
277,날
278,날씨
279,날짜
280,남
281,남기다
282,남녀
283,남대문시장
284,남동생
285,남미
286,남북
287,남자
288,남쪽
289,남편
290,남학생
291,낮
292,낮다
293,내
294,내가
295,내과
296,내년
297,내다
298,내려가다
299,내려오다
300,내리다
301,내용
